Index,Playlist ID,Name,Video Count,Published At
"0","PLxEb-oSdCpBBuCShoKjVOtaHxlXgtdKrG","诺贝尔奖作品集","1","2024-09-03T13:29:12Z"
"1","PLxEb-oSdCpBCUW4uOp6lAf1Afu_eg6UjT","《射雕英雄传》  金庸","1","2024-09-03T02:09:02Z"
"2","PLxEb-oSdCpBDX7ezDj77GI_Jw59lqNnmM","《⼀个⼈的圣经》   - 高行健","1","2024-09-02T10:44:27Z"
"3","PLxEb-oSdCpBBr4DTkCNrKnudCxphI4v1-","金庸文集","7","2024-09-02T10:32:35Z"
"4","PLxEb-oSdCpBAKEha4BslyRYtohJfoxfGP","《碧血劍》 -金庸","2","2024-09-02T10:32:06Z"
"5","PLxEb-oSdCpBDbSKWIx7eqbx-J8l_q9208","《書劍恩仇錄⼭》   - 金庸","2","2024-09-02T02:49:38Z"
"6","PLxEb-oSdCpBAgPDdRk3WCn-DlAbmxxt_l","《灵⼭》   - 高行健","2","2024-09-02T02:46:20Z"
"7","PLxEb-oSdCpBBfmTAgg4VayeFG4c09Wg8e","《神雕侠侣》 -金庸","1","2024-09-02T01:25:11Z"
"8","PLxEb-oSdCpBBplvfal95j5rpFADLOrlBu","《笑傲江湖》 - 金庸","2","2024-09-01T22:05:53Z"
"9","PLxEb-oSdCpBDUg_C10nLVrbz60ds59OOT","《三个火枪手》 - 大仲马","2","2024-09-01T19:44:25Z"
"10","PLxEb-oSdCpBD-nWg81raztA-bStK26zo-","《倚天屠龙记》  - 金庸","2","2024-09-01T19:36:51Z"
"11","PLxEb-oSdCpBCo64WhWjWgqkIogBCo9EuA","《欧也妮·葛朗台》 - 巴尔扎克","1","2024-08-31T13:02:23Z"
"12","PLxEb-oSdCpBCI3_Z0EYCouP5LFdHAxw3K","《欧也妮·葛朗台》 - 巴尔扎克","1","2024-08-31T03:39:35Z"
"13","PLxEb-oSdCpBBn3r1Pfdmd5frWEx3D6tgP","《日瓦戈医生》- 鲍里斯·帕斯捷尔纳克","1","2024-08-29T19:32:35Z"
"14","PLxEb-oSdCpBCT6xjjn5BsAL7mXv5_M-2_","《天龙八部》  - 金庸","5","2024-08-29T11:06:56Z"
"15","PLxEb-oSdCpBCYv-QMWCE1l0nZCSM0tjUz","《西游记》  - 吴承恩","9","2024-08-29T02:34:29Z"
"16","PLxEb-oSdCpBCnURP6NcBnWP-pWQ2s8VYL","《野性的呼唤》  - 杰克·伦敦","1","2024-08-28T09:55:11Z"
"17","PLxEb-oSdCpBCvaOqpZnMjAdh2wjxkEzp2","《玩笑》  - 米兰·昆德拉","2","2024-08-28T03:34:43Z"
"18","PLxEb-oSdCpBBgpMguw-uWVzYi3LuacKRK","《鲁滨逊漂流记》 - 丹尼尔·笛福","2","2024-08-27T02:31:27Z"
"19","PLxEb-oSdCpBCaFs266jRkC9qJtHF1Bzn7","《水浒传》 - 施耐庵,罗贯中","10","2024-08-26T02:57:32Z"
"20","PLxEb-oSdCpBBXLjAitxFc_1YWgV45h2eg","《娜娜》 - 左拉","3","2024-08-25T02:16:08Z"
"21","PLxEb-oSdCpBDATUaG_9saVvHxcGHTamUb","三国演义 (罗贯中)","13","2024-08-23T02:03:29Z"
"22","PLxEb-oSdCpBAjpRQfAe6NRZrHGblN72QO","《十日谈》 - 乔万尼·薄伽丘","2","2024-08-21T23:26:52Z"
"23","PLxEb-oSdCpBBnW9KXzX0l0BJ849aBpLku","《儿子与情人》  - 戴·赫·劳伦斯","2","2024-08-21T23:18:57Z"
"24","PLxEb-oSdCpBDOE-cXcLJVPRsPR1-ofNze","《傲慢与偏见》 卷 2 - 珍·奧斯汀","3","2024-08-19T23:03:44Z"
"25","PLxEb-oSdCpBCoVCGD_Li5Jk-sg5SU8nt0","《猎人笔记》  - 伊万·谢尔盖耶维奇·屠格涅夫","2","2024-08-19T10:53:48Z"
"26","PLxEb-oSdCpBB3WTcWAJgOvbYKi-8iXcqa","《战争与和平》 - 列夫·尼古拉耶维奇·托尔斯泰","14","2024-08-16T10:51:08Z"
"27","PLxEb-oSdCpBBtlO-oUxn5lpDUEw0zjNpM","《一千零一夜》","3","2024-08-14T02:48:47Z"
"28","PLxEb-oSdCpBBOuGWuoqrzenWUeKBJJGJr","《铁皮鼓》  - 君特·格拉斯","4","2024-08-13T22:29:14Z"
"29","PLxEb-oSdCpBD3Y0AHdUt2vjDln8PFL2tq","《茶花女》  - 小仲马","2","2024-08-11T02:59:41Z"
"30","PLxEb-oSdCpBCbZbPwyrvzLijK5mntn1uP","《安娜·卡列尼娜》  - 列夫·托爾斯泰","6","2024-08-09T23:48:22Z"
"31","PLxEb-oSdCpBAs6gD8KOBvCtp8l472sayr","《洛丽塔》 - 弗拉基米尔·纳博科夫","2","2024-08-08T12:24:47Z"
"32","PLxEb-oSdCpBAT3r3uRdEsKwUSkOOpV9Nx","《乌托邦》 - 托马斯·莫尔","1","2024-08-07T10:46:26Z"
"33","PLxEb-oSdCpBDxO6AEfobmxLuRqUMOpKiG","《悲惨世界》  - 维克多·雨果","6","2024-08-05T10:23:43Z"
"34","PLxEb-oSdCpBBckSnrkwz1dkxIdz3lzyq0","《父与子》 - 屠格涅夫","2","2024-08-04T22:33:17Z"
"35","PLxEb-oSdCpBB2AhX6ekv_nI0JItc3FQbw","《百年孤独》 - 加西亚·马尔克斯","3","2024-08-04T12:32:38Z"
"36","PLxEb-oSdCpBDLG4JyByk2QoG8-R8pqeTY","《钢铁是怎样炼成的》  - 尼古拉·奥斯特洛夫斯","1","2024-08-03T02:44:42Z"
"37","PLxEb-oSdCpBCvQfLQCvIZEBVvnxPMX7Cq","《超新星纪元》 - 刘慈欣","2","2024-08-02T10:29:23Z"
"38","PLxEb-oSdCpBDgwX9EUoZTP3Y8LF1D_z9p","《金瓶梅-崇祯版》女声 - 蘭陵笑笑生　第 1-10 囬","10","2024-08-01T23:03:04Z"
"39","PLxEb-oSdCpBDOhBQ08JDORS_cTzwFiFAz","《白牙》 - 米哈伊尔·布尔加科夫","2","2024-08-01T10:18:22Z"
"40","PLxEb-oSdCpBAeSI0R06qTTMUHmjSg48fl","《爱弥儿》  - 卢梭","3","2024-08-01T10:13:40Z"
"41","PLxEb-oSdCpBCqW8yyzkwdyWsi8Qhxu5tD","《三体3：死神永生》 - 刘慈欣","3","2024-07-31T01:21:24Z"
"42","PLxEb-oSdCpBC1EI7XEs99Ax0GuldHEfcz","《巴黎圣母院》  - 雨果","3","2024-07-28T12:00:22Z"
"43","PLxEb-oSdCpBBw1X8PPXW_qg9tsi5cCGqC","安徒生童话 - 安徒生","2","2024-07-28T00:59:08Z"
"44","PLxEb-oSdCpBB9GMLaycx5j9w33AiLBeNL","《三体2：黑暗森林》  - 刘慈欣","3","2024-07-27T21:03:35Z"
"45","PLxEb-oSdCpBAGmlt5c-_eYQrddRsSJMXc","《三体》 - 刘慈欣","4","2024-07-26T23:13:55Z"
"46","PLxEb-oSdCpBAd0J8TU-sJqa6G41UYIoO1","《球状闪电》  - 刘慈欣","2","2024-07-24T10:50:09Z"
"47","PLxEb-oSdCpBDMdZ85RMc5T6fYG1Abrmn0","《愤怒的葡萄》 - 约翰·史坦贝克","1","2024-07-24T10:46:45Z"
"48","PLxEb-oSdCpBBLANoezQ56EezXK56hHFRi","《金瓶梅-崇祯版》- 蘭陵笑笑生","10","2024-07-24T10:42:18Z"
"49","PLxEb-oSdCpBAalNB5GWAJKp5FouuSBKUf","《布登勃洛克一家》 卷 1 - 托马斯·曼","4","2024-07-21T03:05:44Z"
