title,url,publishedAt
"""Holy Bible"" Old Testament Volume 8 - New International Version",https://www.youtube.com/watch?v=9nryvmYURA8,2024-09-19T02:34:52Z
"""The Secret of Fellowship"" - Andrew Murray",https://www.youtube.com/watch?v=F847dVa9MQ0,2024-09-18T12:17:19Z
"""Holy Bible"" Old Testament Volume 7 - New International Version",https://www.youtube.com/watch?v=SPM31Y_c8_8,2024-09-17T11:22:48Z
"""Holy Bible"" Old Testament Volume 6 - New International Version",https://www.youtube.com/watch?v=RK1lpWQwXI4,2024-09-16T11:58:17Z
"""The Practice of the Presence of God"" - Brother Lawrence",https://www.youtube.com/watch?v=T1thnWkp4Uk,2024-09-16T11:23:46Z
"""Holy Bible"" Old Testament Volume 5 - New International Version",https://www.youtube.com/watch?v=dNKSP8cuTaY,2024-09-14T19:33:44Z
"""Holy Bible"" Old Testament Volume 4 - New International Version",https://www.youtube.com/watch?v=Yq8EWXTAc6I,2024-09-14T03:13:59Z
"""The Testimony of Jesus"" - Austin Sparks",https://www.youtube.com/watch?v=9DcUUgDIgSc,2024-09-12T21:44:15Z
"""Holy Bible"" Old Testament Volume 3 - New International Version",https://www.youtube.com/watch?v=YE8ZJIDHgtk,2024-09-12T01:02:29Z
"""Holy Bible"" Old Testament Volume 1 - New International Version",https://www.youtube.com/watch?v=5x1VBQz_ohA,2024-09-09T03:32:05Z
"""Holy Bible"" Old Testament Volume 2 - New International Version",https://www.youtube.com/watch?v=uiyM669ShU0,2024-09-09T01:08:02Z
"""The Letter to the Hebrews"" - Austin-Sparks",https://www.youtube.com/watch?v=2LdVGFLI9Zo,2024-08-25T12:46:43Z
"""The Nature of that which Issues in the Resurrection of Christ"" - Austin-Sparks",https://www.youtube.com/watch?v=a3xdN4krOnY,2024-08-19T11:44:12Z
"""The Recovering of the Lord's Testimony in Fullness"" - Theodore Austin-Sparks",https://www.youtube.com/watch?v=xsLPFU_kiT4,2024-08-17T00:18:33Z
"""The Heavenly Calling"" Austin Sparks",https://www.youtube.com/watch?v=OpDTNpEYnlY,2024-08-15T11:21:44Z
"""Daily Open Windows"" Volume 2 - Theodore Austin-Sparks",https://www.youtube.com/watch?v=6qKgIyJtKyQ,2024-08-15T01:21:34Z
"""Daily Open Windows"" Volume 1 - Theodore Austin-Sparks",https://www.youtube.com/watch?v=ITEX3VU_luE,2024-08-13T22:04:26Z
"""Christ, Church and God's Eternal Purpose"" - Theodore Austin-Sparks",https://www.youtube.com/watch?v=pH2vR_i2pUw,2024-08-12T02:17:40Z
"""Christian Life"" - Theodore Austin-Sparks",https://www.youtube.com/watch?v=OB8GjWequ94,2024-08-10T10:10:41Z
"""Leadership"" -Theodore Austin-Sparks",https://www.youtube.com/watch?v=2VhlXjzYKwQ,2024-08-10T00:40:52Z
"""The Gospel of John"" - Austin-Sparks",https://www.youtube.com/watch?v=hm5Ole3hM3E,2024-08-09T02:38:14Z
