title,url,publishedAt
"""Women in Love"" Volume 3 - D. H. Lawrence",https://www.youtube.com/watch?v=0ZzadXfLG3A,2024-09-19T00:38:25Z
"""Sister Carrie"" Volume 3- Theodore Dreiser",https://www.youtube.com/watch?v=R81Ab8kYoaQ,2024-09-18T00:20:31Z
"""Sister Carrie"" Volume 2- Theodore Dreiser",https://www.youtube.com/watch?v=hLU2p9OqBGk,2024-09-14T03:55:24Z
"""Women in Love"" Volume 2 - D. H. Lawrence",https://www.youtube.com/watch?v=cwE7qOaRu5E,2024-09-13T12:08:34Z
"""Sister Carrie"" Volume 1- Theodore Dreiser",https://www.youtube.com/watch?v=9H2JLhKs_5I,2024-09-10T15:15:59Z
"""Women in Love"" Volume 1 - D. H. Lawrence",https://www.youtube.com/watch?v=m_M_tOs9-vo,2024-09-10T00:32:10Z
"""The Three Musketeers"" Volume 7 - Alexandre Dumas",https://www.youtube.com/watch?v=SHq08VoBQl4,2024-09-09T11:08:43Z
"""The Three Musketeers"" Volume 6 - Alexandre Dumas",https://www.youtube.com/watch?v=3zUonP6fexY,2024-09-08T22:21:47Z
"""The Three Musketeers"" Volume 4 - Alexandre Dumas",https://www.youtube.com/watch?v=xH1Xooi67dw,2024-09-07T01:34:15Z
"""The Three Musketeers"" Volume 3 - Alexandre Dumas",https://www.youtube.com/watch?v=9Th_3lkX5-c,2024-09-05T12:17:39Z
"""The Three Musketeers"" Volume 1 - Alexandre Dumas",https://www.youtube.com/watch?v=f-VrpDeaFZU,2024-09-02T02:32:36Z
"""Robinson Crusoe"" Volume 2 - Daniel Defoe",https://www.youtube.com/watch?v=r_4yAA3k90g,2024-09-01T11:55:29Z
"""Doctor Zhivago"" Volume 5 - Boris Pasternak",https://www.youtube.com/watch?v=muI-UrrU8RI,2024-08-31T18:16:17Z
"""Eugénie Grandet"" Volume 1 - Honoré de Balzac",https://www.youtube.com/watch?v=XB-kPTFckhY,2024-08-31T16:39:54Z
