Index,Playlist ID,Name,Video Count,Published At
"0","PLNdtt4HM2EDwwxfQvCl271RwlVfwHltHC","The Three Musketeers - Alexandre Dumas","1","2024-09-02T00:48:59Z"
"1","PLNdtt4HM2EDzvpj52laMTMFLZrh82lmmZ","Eugénie Grandet  - Honoré de Balzac","1","2024-08-31T16:38:52Z"
"2","PLNdtt4HM2EDyyATdQ-xPX-tvA1tZqmfF-","Doctor Zhivago - Boris Pasternak","6","2024-08-29T11:12:48Z"
"3","PLNdtt4HM2EDz0dxyg-RtC8k_JQa54VqGI","The Call of the Wild  - Jack London","1","2024-08-29T11:10:07Z"
"4","PLNdtt4HM2EDy-p1WlTkiGgDqMElPq5YT5","The Joke - Milan Kundera.","1","2024-08-28T03:38:29Z"
"5","PLNdtt4HM2EDzPFsqHnHk8r8xSeE-pmUFf","Robinson Crusoe - Daniel Defoe","2","2024-08-27T15:53:07Z"
"6","PLNdtt4HM2EDzbMC4oMCRLtoxyoZxxO-G_","Nana - Émile Zola","3","2024-08-26T10:57:19Z"
"7","PLNdtt4HM2EDz2ekJONi0UDTZhcotBpyzw","The Decameron  - Giovanni Boccaccio","6","2024-08-24T13:12:24Z"
"8","PLNdtt4HM2EDyw3-uzPNUn1NBpKQ7HtWK1","Sons and Lovers  -  by David Herbert Lawrence","1","2024-08-22T02:50:54Z"
"9","PLNdtt4HM2EDx267cbrTKA9IacWZjTjfTX","A Hunter's Sketches - Ivan Turgenev","4","2024-08-21T23:36:40Z"
"10","PLNdtt4HM2EDwcX4HOh2g5YaKMzhd8CMcC","Pride and Prejudice  -  by Jane Austen","4","2024-08-19T23:13:24Z"
"11","PLNdtt4HM2EDzHFphl6dgNfi0NZmVMpbfu","War and Peace - Leo Tolstoy","18","2024-08-17T02:52:57Z"
"12","PLNdtt4HM2EDyWqV0VxBYbDmcg9BltuwST","One Thousand and One Nights","3","2024-08-16T03:07:09Z"
"13","PLNdtt4HM2EDxjMYGfzVPbDEUeZA_cJ7Mv","The Tin Drum  -  Günter Grass.","4","2024-08-14T02:55:17Z"
"14","PLNdtt4HM2EDzigCxdvYh2cvdmynSxx3II","The Lady of the Camellias  - by Alexandre Dumas","2","2024-08-11T02:55:52Z"
"15","PLNdtt4HM2EDw1GibjEcC4j6qa-xMuGMW6","Anna Karenina - by Leo Tolstoy","9","2024-08-11T01:50:28Z"
"16","PLNdtt4HM2EDz-Waju4RD6XGO1BjSbhBOQ","Lolita - Vladimir Nabokov","2","2024-08-09T02:03:48Z"
"17","PLNdtt4HM2EDyxQETltDwupBNOPupuBVJj","Les Misérables  - by Victor Hugo","11","2024-08-06T10:36:11Z"
"18","PLNdtt4HM2EDzEImL3jS3anG8HM6XUpwZk","Fathers and Sons  - Ivan Turgenev","3","2024-08-04T22:44:02Z"
"19","PLNdtt4HM2EDxySacQHz-TlvYSxbfb0rnO","One Hundred Years of Solitude  - by Gabriel García Márquez","3","2024-08-03T14:50:04Z"
"20","PLNdtt4HM2EDxbtsdXUWhlIX3RbLSNIMLj","How the Steel Was Tempered  - by Nikolai Ostrovsky.","2","2024-08-03T10:49:46Z"
"21","PLNdtt4HM2EDxqOMWcsFVkSYItjKjJQdAr","White Fang - Jack London","2","2024-08-02T10:34:53Z"
"22","PLNdtt4HM2EDw1u1I3qiJERuXWoQldkdo_","Emile, or On Education  - Jean-Jacques Rousseau","5","2024-08-01T23:19:52Z"
"23","PLNdtt4HM2EDyYx97C8VpEzgU5HVkwDpc0","The Hunchback of Notre-Dame  - by Victor Hugo","4","2024-07-29T02:36:35Z"
"24","PLNdtt4HM2EDzoyYU6xAiqY1_h0sl-QxGu","Hans Christian Andersen's Fairy Tales. - Hans Christian Andersen","3","2024-07-28T13:17:10Z"
"25","PLNdtt4HM2EDzxMxqRe9kLYIDqS5zGKp6y","The Grapes of Wrath  John Steinbeck.","2","2024-07-26T01:41:32Z"
"26","PLNdtt4HM2EDzoT4juI_qhvovQ43n4V4GN","Three-Body - Cixin Liu","12","2024-07-22T00:41:52Z"
"27","PLNdtt4HM2EDxJuXFoPdySZqGC8ef5kEF9","Nausea - by Jean-Paul Sartre","2","2024-07-21T19:23:00Z"
"28","PLNdtt4HM2EDwo2XWFgfaBom3T-5O45ePv","Resurrection - by Leo Tolstoy","3","2024-07-21T19:17:14Z"
"29","PLNdtt4HM2EDy_SJKT-AI_XgvjtMvAk35_","Buddenbrooks  by Thomas Mann.","4","2024-07-21T10:12:47Z"
"30","PLNdtt4HM2EDy6jVocWNHPs1OGMIGNju4h","Catch-22  - by Joseph Heller.","2","2024-07-19T20:45:32Z"
"31","PLNdtt4HM2EDyxQ83qFmTsRJXhjaMA8CtB","Main Street - by Sinclair Lewis","1","2024-07-19T20:36:21Z"
"32","PLNdtt4HM2EDy3dZqrAgxiuZcFclPFYS6q","Cancer Ward  - by Aleksandr Solzhenitsyn","3","2024-07-17T23:06:01Z"
"33","PLNdtt4HM2EDyTtVwEE75Uzgx77vUrrshA","Crime and Punishment by Fyodor Dostoevsky.","2","2024-07-16T22:15:10Z"
"34","PLNdtt4HM2EDxBKE2VYhkLE5Fk-qccBd-7","Gone with the Wind  by Margaret Mitchell","7","2024-07-12T21:20:07Z"
"35","PLNdtt4HM2EDy_cq6PjY5YMtyx-QlK9uQ1","World Classics 100 books","147","2024-07-10T02:57:49Z"
"36","PLNdtt4HM2EDwqTGsU0WooKjZ7laGvrC6k","Aesop's Fables","1","2024-07-10T01:03:22Z"
"37","PLNdtt4HM2EDzJM8pguWEoYHUZJuhVs6M0","Bible 2024","16","2024-07-07T10:42:48Z"
"38","PLNdtt4HM2EDxGlLO-GDpi1jaQvdVMMSC3","The Interpretation of Dreams  by Sigmund Freud","4","2024-07-05T21:12:32Z"
"39","PLNdtt4HM2EDxm4Ezbb5xZuZz9mBZAIm8y","Hung Lou Meng, by Cao Xueqin.","6","2024-06-25T21:11:13Z"
"40","PLNdtt4HM2EDxRIgvcsBiQBK3OvOq4RDdN","MCAT","2","2024-06-14T17:40:57Z"
"41","PLNdtt4HM2EDystS1qGcPW-kORI6n4Ezgd","Bible","65","2024-03-08T00:18:09Z"
"42","PLNdtt4HM2EDxmTE5H5LxuAQ0mOKcNzeFY","Bible English Full Book","65","2024-03-08T00:17:54Z"
"43","PLNdtt4HM2EDxkz9s7Kp-J5eptiYxGE7bR","The importance of the building up of new believers","50","2024-02-08T01:30:08Z"
"44","PLNdtt4HM2EDxsKNfs0QmZpIhtlq-U6nwE","Matthew","28","2024-02-05T02:20:35Z"
"45","PLNdtt4HM2EDwZIVdLN1HbyMlfpOPhK1sp","Mark","16","2024-02-05T01:51:49Z"
"46","PLNdtt4HM2EDzly8-INA1J66aeJ5xHwswL","Luke","24","2024-02-05T00:55:40Z"
"47","PLNdtt4HM2EDwuYgHX8_T3T-JLbp47009G","Watchman Nee","64","2024-01-15T17:00:16Z"
"48","PLNdtt4HM2EDxUpMNiHwRTkS03wkxZ0_Bg","The Normal Christian Life","14","2024-01-15T16:59:55Z"
"49","PLNdtt4HM2EDwHPTns7QhxpNLYPUlBV6qI","Genesis","50","2024-01-14T02:33:12Z"
"50","PLNdtt4HM2EDxeJNndvNSI-ZleBRmNCwEB","Biblical Figures","12","2023-12-22T17:15:49Z"
"51","PLNdtt4HM2EDwBN6NWK70xPUVtin5Sk9wE","Bible","121","2023-12-07T13:24:26Z"
"52","PLNdtt4HM2EDxMXnJUKRc_yeeVJdFBGxsU","Great Expectations - Author: Charles Dickens.","1","2023-11-10T01:29:29Z"
"53","PLNdtt4HM2EDyUHvc2dF5N6aV-t94BTsus","The Prince - Author: Nicolo Machiavelli.","1","2023-11-10T01:18:29Z"
"54","PLNdtt4HM2EDwWWS7gyeD2lVFFzrq95uc3","A Christmas Carol in Prose; Being a Ghost Story of Christmas - Author: Charles Dickens.","1","2023-11-09T00:13:02Z"
"55","PLNdtt4HM2EDxii3vuSVghNoo1P-FWd7eT","A Tale of Two Cities  Author: Charles Dickens.","2","2023-11-07T17:59:22Z"
"56","PLNdtt4HM2EDyIeLW6UkfAZTey53UNrOOR","Robert Louis Stevenson .","1","2023-11-07T13:54:39Z"
"57","PLNdtt4HM2EDxu1a31qPruMjGZ7SHvCXak","Dracula - Bram Stoker","2","2023-11-06T23:17:04Z"
"58","PLNdtt4HM2EDxQx0UQmVWn55bINyqSSFhg","Oscar Wilde","1","2023-11-06T00:59:00Z"
"59","PLNdtt4HM2EDyX-dq1YLCgrQ8NVlesoCU7","Franz Kafka","1","2023-11-05T21:08:53Z"
"60","PLNdtt4HM2EDxPBTOwBJ2tHJJOsZIwCpek","Lewis Carroll.","1","2023-11-05T20:29:13Z"
"61","PLNdtt4HM2EDzyQ3auh4lZTtJv49SWl7jk","Nathaniel Hawthorne","1","2023-11-05T19:32:46Z"
"62","PLNdtt4HM2EDwq3RhcUtwXI9VS3YPC-DnM","War and Peace - Author: Leo Tolstoy .","1","2023-10-30T02:39:18Z"
"63","PLNdtt4HM2EDyBpRFqlirMVafvyUNG234n","Peace on Earth, Good-Will to Dogs - Author: Eleanor Hallowell Abbott.","2","2023-10-28T00:34:23Z"
"64","PLNdtt4HM2EDwMvI67lcx-d3XJfqAPFsya","The Odyssey - Homer","2","2023-10-26T22:14:06Z"
"65","PLNdtt4HM2EDyrxZp-GuRYiNYSMZFLOCx6","The Iliad of Homer - Homer","1","2023-10-25T01:15:06Z"
"66","PLNdtt4HM2EDwYgY1_5vjU3vr8ZsPjYYQl","Jane Eyre - Charlotte Brontë","2","2023-10-24T19:59:12Z"
"67","PLNdtt4HM2EDxSZMqXkgr2FA5FZPY-g2kb","CRIME AND PUNISHMENT - Fyodor Dostoevsky","3","2023-10-24T10:56:51Z"
"68","PLNdtt4HM2EDzV7C935kAwECCfl0DhUMZx","The Modern Prometheus - Mary Wollstonecraft Shelley","1","2023-10-24T10:40:05Z"
"69","PLNdtt4HM2EDzHItM5-A_cHL5aGX6K_NSm","THE WHALE  - Author: Herman Melville.","4","2023-10-23T10:19:26Z"
"70","PLNdtt4HM2EDw60weuSpG8ejauaGa4BCEV","Graf Leo Tolsto","10","2023-10-21T17:44:53Z"
"71","PLNdtt4HM2EDzcR05K23FoBqyai6TO_6G4","Jane Austen","2","2023-10-21T16:58:37Z"
"72","PLNdtt4HM2EDz0hZThIyAmkhPXpofsdIz_","F. Scott Fitzgerald","1","2023-10-21T09:17:25Z"
